"#Compound List: 9080 found, 1566 shown, filtered on MS/MS Count"
#
Show/Hide,Label,Mass,RT,Avg Mass,Height,Area,Ion Polarity,Base Peak,Z Count,Saturated,Algorithm,End,FV,Abund,MS/MS Count,File,Volume,Formula,Precursor,CE,m/z (Prod),Width,Max Z,Ions,Min Z,ID Source,ID Techniques Applied,Score,Start,Cpd,Name,Hit Count,CAS ID,HMP ID,KEGG ID,Lipid ID,METLIN ID,Swiss-Prot,Notes,Mass (Tgt),Diff (ppm),Score (Tgt),Flags (Tgt),Diff (mDa),RT (Tgt),Target Retention Time Difference,Score (Frag Coelution),FIs Conf.,FIs Conf. %,Score (Frag Ratio),FragMassDiff(ppm),FIs Eval.,Source,Flag Severity (Tgt),Vol %,Std Dev,Group,Cpds/Group,Score (MFE),Score (DB),Reference mass,Reference Retention Time,RT Diff,Hits (DB),Common Hit Count,Relative Reference Mass difference,Reference Mass difference
True,Cpd 369: 12.774,408.3233,12.774,,32777,129502,Positive,59.0603,1,,Find by Formula,12.956,,11884,6,PQC_Prfrd opt Iterative-r001.d,,,409.3312,,,0.059,1,4,1,FBF,FBF,91.28,12.691,369,,1,,,,,,,,408.3237,-1.05,91.28,,-0.43,12.77,0.004,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 382: 2.729,247.1053,2.729,,41847,187754,Positive,229.1547,1,,Find by Formula,2.801,,16777,6,PQC_Prfrd opt Iterative-r001.d,,,230.1023,,,0.073,1,3,1,FBF,FBF,91.22,2.633,382,,1,,,,,,,,247.1054,-0.33,91.22,,-0.08,2.738,-0.009,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 415: 8.857,386.187,8.857,,44258,174651,Positive,59.0602,1,,Find by Formula,9.146,,14051,6,PQC_Prfrd opt Iterative-r001.d,,,404.2199,,,0.057,1,4,1,FBF,FBF,88.95,8.76,415,,1,,,,,,,,386.186,2.78,88.95,,1.07,8.865,-0.008,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 590: 12.026,454.2714,12.026,,21546,93533,Positive,59.0602,1,,Find by Formula,12.223,,8042,6,PQC_Prfrd opt Iterative-r001.d,,,455.2791,,,0.064,1,3,1,FBF,FBF,88.67,11.938,590,,1,,,,,,,,454.2715,-0.32,88.67,,-0.15,12.025,0.001,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 766: 10.267,370.2725,10.267,,40592,271232,Positive,59.0602,1,,Find by Formula,10.525,,6679,6,PQC_Prfrd opt Iterative-r001.d,,,353.2686,,,0.082,1,3,1,FBF,FBF,56.6,10.199,766,,1,,,,,,,,370.2722,0.98,56.6,low score,0.36,10.328,-0.061,,,,,,,,Warning,,,,,,,,,,,,,,
True,Cpd 798: 12.346,598.4817,12.346,,13867,54184,Positive,59.0602,1,,Find by Formula,12.452,,5252,6,PQC_Prfrd opt Iterative-r001.d,,,616.5143,,,0.059,1,3,1,FBF,FBF,91.13,12.251,798,,1,,,,,,,,598.481,1.06,91.13,,0.63,12.34,0.006,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 826: 8.011,254.1517,8.011,,25662,117125,Positive,59.0602,1,,Find by Formula,8.327,,11442,6,PQC_Prfrd opt Iterative-r001.d,,,272.1856,,,0.062,1,2,1,FBF,FBF,64.32,7.929,826,,1,,,,,,,,254.1518,-0.3,64.32,low score,-0.08,8.02,-0.009,,,,,,,,Warning,,,,,,,,,,,,,,
True,Cpd 954: 13.138,494.3976,13.138,,12491,46690,Positive,429.3726,1,,Find by Formula,13.174,,4224,6,PQC_Prfrd opt Iterative-r001.d,,,495.4048,,,0.067,1,3,1,FBF,FBF,91.65,13.024,954,,1,,,,,,,,494.3973,0.53,91.65,,0.26,13.134,0.004,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 996: 3.610,284.1506,3.61,,4811,20584,Positive,118.0862,1,,Find by Formula,3.733,,1155,6,PQC_Prfrd opt Iterative-r001.d,,,285.16,,,0.066,1,2,1,FBF,FBF,64.44,3.528,996,,1,,,,,,,,284.1508,-0.89,64.44,low score,-0.25,3.615,-0.005,,,,,,,,Warning,,,,,,,,,,,,,,
True,Cpd 1051: 6.764,457.2681,6.764,,6677,25524,Positive,400.2694,1,,Find by Formula,6.852,,2368,6,PQC_Prfrd opt Iterative-r001.d,,,475.3015,,,0.065,1,2,1,FBF,FBF,64.37,6.706,1051,,1,,,,,,,,457.2679,0.38,64.37,low score,0.17,6.772,-0.008,,,,,,,,Warning,,,,,,,,,,,,,,
